conjunto,esquema,dobra,n_treino,n_teste,C_binaria,C_multiclasse,ridge_alpha,bin_acuracia,bin_precisao,bin_recall,bin_especificidade,bin_f1,bin_roc_auc,bin_saudaveis_no_teste,mul_acuracia_balanceada,mul_f1_macro,mul_nivel_correto,mul_erro_um_nivel,mul_erro_dois_ou_mais,reg_mae_alfa,reg_rmse_alfa,reg_r2,reg_mae_espiras,reg_vies_alfa,reg_nivel_mais_proximo_correto,conformal_meia_largura,conformal_cobertura,fora_dominio_fracao
dinov2,blocos,b3,188,49,0.01,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.017198572961651552,0.02180364738053349,0.9957942086025333,10.31914377699093,-0.0032546901783975647,1.0,0.04762737353642782,0.9795918367346939,0.02040816326530612
dinov2,blocos,b4,197,49,0.01,0.1,10.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0.9777777777777779,0.9775533108866442,0.9795918367346939,0.02040816326530612,0.0,0.023858098675604587,0.03274649046673588,0.9905132172916439,14.314859205362753,-0.001991659848868445,0.8979591836734694,0.04311171770095823,0.8163265306122449,0.02040816326530612
hibrido_v1,aleatoria,a0,204,51,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.00903047205672575,0.013367796152207505,0.9984437719968032,5.41828323403545,-0.0012901378797288976,1.0,,,
hibrido_v1,aleatoria,a1,204,51,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.012046622776476825,0.015739000322114227,0.9978635688392166,7.227973665886095,-0.0024542471549288108,0.9803921568627451,,,
hibrido_v1,aleatoria,a2,204,51,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.010459374494339476,0.014867768071732282,0.9980498628961945,6.2756246966036855,0.004139706063879508,0.9803921568627451,,,
hibrido_v1,aleatoria,a3,204,51,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.010082121179010691,0.01387709668637814,0.9982957444745493,6.0492727074064145,-0.0010734086685006445,0.9803921568627451,,,
hibrido_v1,aleatoria,a4,204,51,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0.9814814814814815,0.9797979797979798,0.9803921568627451,0.0196078431372549,0.0,0.010577954522005186,0.01457407590233245,0.9980993280038539,6.346772713203111,-0.0019547220739146607,1.0,,,
hibrido_v1,blocos,b0,190,56,0.01,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.013410004456003285,0.0184956355823592,0.9969803634067738,8.04600267360197,-0.004774066957875538,1.0,0.03106524063416194,0.9107142857142857,0.03571428571428571
hibrido_v1,blocos,b1,185,52,0.01,0.1,10.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.009818125579234362,0.013202579584480293,0.9985014547151922,5.890875347540617,-0.0010912425798423795,0.9807692307692307,0.03195483300388746,0.9807692307692307,0.0
hibrido_v1,blocos,b2,188,49,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.01017424815764322,0.014078957213037828,0.9982464005242911,6.104548894585932,0.0034958262497670604,1.0,0.029689285048366654,0.9591836734693877,0.0
hibrido_v1,blocos,b3,188,49,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.013452234139672522,0.018031017398760164,0.9971237283962405,8.071340483803514,-0.0016823313563496007,0.9795918367346939,0.028802161211676003,0.8571428571428571,0.02040816326530612
hibrido_v1,blocos,b4,197,49,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0.9777777777777779,0.9775533108866442,0.9795918367346939,0.02040816326530612,0.0,0.013307159774167054,0.017797250011262533,0.997197825146166,7.984295864500233,0.0028751411164147918,0.9591836734693877,0.027335989570566932,0.8571428571428571,0.02040816326530612
hibrido,aleatoria,a0,204,51,0.01,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.008697348250389172,0.01300876361902702,0.9985262438116302,5.218408950233503,-0.0006215615838085622,1.0,,,
hibrido,aleatoria,a1,204,51,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.011119912476122887,0.014997173225554768,0.9980602157406259,6.671947485673732,-0.0031927761179033494,0.9803921568627451,,,
hibrido,aleatoria,a2,204,51,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.009384503876255024,0.014161409751760702,0.9982307607400901,5.630702325753014,0.004976387202148821,1.0,,,
hibrido,aleatoria,a3,204,51,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.009265506287864642,0.012900869952886326,0.998527092488176,5.559303772718785,-0.0009666840399117158,0.9803921568627451,,,
hibrido,aleatoria,a4,204,51,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0.9814814814814815,0.9797979797979798,0.9803921568627451,0.0196078431372549,0.0,0.009498054854209926,0.01275882896174287,0.9985433112939742,5.698832912525956,-0.001866249571099943,1.0,,,
hibrido,blocos,b0,190,56,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.9333333333333333,0.9301587301587302,0.9464285714285714,0.05357142857142857,0.0,0.011761037606409012,0.016201807961175155,0.9976829088407934,7.056622563845407,-0.0024988150202124326,1.0,0.029997089619584028,0.8928571428571429,0.03571428571428571
hibrido,blocos,b1,185,52,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0,1.0,0.0,0.0,0.008518552026758223,0.011517544185630724,0.9988595610083237,5.111131216054933,-0.0020894894899711122,0.9807692307692307,0.03385174245518208,0.9807692307692307,0.0
hibrido,blocos,b2,188,49,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.00958178125798659,0.013249517778671841,0.9984469352118159,5.749068754791954,0.003252255261315483,1.0,0.027143832876584728,0.9591836734693877,0.0
hibrido,blocos,b3,188,49,0.01,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1.0,1.0,1.0,0.0,0.0,0.013254235775159794,0.017896374092563477,0.9971665240714136,7.952541465095877,-0.002329700749140234,1.0,0.02648308301496982,0.8163265306122449,0.02040816326530612
hibrido,blocos,b4,197,49,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,0.9777777777777779,0.9775533108866442,0.9795918367346939,0.02040816326530612,0.0,0.013551837062756679,0.017666937473768497,0.9972387103007986,8.131102237654007,0.0018284187000905535,1.0,0.026616553713619595,0.8775510204081632,0.02040816326530612
