conjunto,regressor,campanha_retirada,tipo,condicao,alfa_real,n_teste,alfa_previsto_medio,mae_espiras,vies_espiras,fora_dominio_fracao
dinov2|ridge,ridge,D,extrapolacao,SC600,1.0,40,0.5411941409111023,275.28349354863167,-275.28349354863167,0.9
dinov2|pls,pls,A,extrapolacao,Healthy,0.0,22,0.3084440694947153,185.06644169682917,185.06644169682917,1.0
dinov2|pls,pls,B,interpolacao,SC80,0.13333333333333333,26,0.019995047668184704,68.00297139908919,-68.00297139908919,1.0
dinov2|pls,pls,B,interpolacao,SC160,0.26666666666666666,31,0.20241427149970337,41.49027053476356,-38.55143710017799,1.0
dinov2|pls,pls,C,interpolacao,SC240,0.4,26,0.5380963386794254,82.8578032076552,82.8578032076552,0.3076923076923077
dinov2|pls,pls,C,interpolacao,SC320,0.5333333333333333,26,0.610319527201362,46.19171632081717,46.19171632081717,0.11538461538461539
dinov2|pls,pls,D,extrapolacao,SC400,0.6666666666666666,25,0.45869389429879276,124.7836634207243,-124.7836634207243,0.28
dinov2|pls,pls,D,extrapolacao,SC480,0.8,27,0.5055160654746454,176.6903607152127,-176.6903607152127,0.0
dinov2|pls,pls,D,extrapolacao,SC560,0.9333333333333333,32,0.5507539126543559,229.54765240738647,-229.54765240738647,0.53125
dinov2|pls,pls,D,extrapolacao,SC600,1.0,40,0.5281349865400367,283.11900807597806,-283.11900807597806,0.9
dinov2|pca_ridge,pca_ridge,A,extrapolacao,Healthy,0.0,22,0.30877459049224854,185.2647616104646,185.2647616104646,1.0
dinov2|pca_ridge,pca_ridge,B,interpolacao,SC80,0.13333333333333333,26,0.02719903364777565,63.68057929552519,-63.68057929552519,1.0
dinov2|pca_ridge,pca_ridge,B,interpolacao,SC160,0.26666666666666666,31,0.2284897267818451,32.20179557800292,-22.90617027590351,1.0
dinov2|pca_ridge,pca_ridge,C,interpolacao,SC240,0.4,26,0.5515631437301636,90.93790480723747,90.93790480723747,0.3076923076923077
dinov2|pca_ridge,pca_ridge,C,interpolacao,SC320,0.5333333333333333,26,0.634616494178772,60.7699006337386,60.7699006337386,0.11538461538461539
dinov2|pca_ridge,pca_ridge,D,extrapolacao,SC400,0.6666666666666666,25,0.5279292464256287,83.24241995811461,-83.24241995811461,0.28
dinov2|pca_ridge,pca_ridge,D,extrapolacao,SC480,0.8,27,0.5388533473014832,156.68797042634753,-156.68797042634753,0.0
dinov2|pca_ridge,pca_ridge,D,extrapolacao,SC560,0.9333333333333333,32,0.5397143959999084,236.1713707819581,-236.1713707819581,0.53125
dinov2|pca_ridge,pca_ridge,D,extrapolacao,SC600,1.0,40,0.5204817056655884,287.71100252866745,-287.71100252866745,0.9
dinov2|kernel_ridge,kernel_ridge,A,extrapolacao,Healthy,0.0,22,0.08861402103996525,53.16841262397915,53.16841262397915,1.0
dinov2|kernel_ridge,kernel_ridge,B,interpolacao,SC80,0.13333333333333333,26,0.0067705039160606655,75.93769765036359,-75.93769765036359,1.0
dinov2|kernel_ridge,kernel_ridge,B,interpolacao,SC160,0.26666666666666666,31,0.09347675388392922,103.9139476696425,-103.9139476696425,1.0
dinov2|kernel_ridge,kernel_ridge,C,interpolacao,SC240,0.4,26,0.4329103734335852,34.70497160006015,19.746224060151125,0.3076923076923077
dinov2|kernel_ridge,kernel_ridge,C,interpolacao,SC320,0.5333333333333333,26,0.5676255638664255,39.25439785462671,20.57533831985527,0.11538461538461539
dinov2|kernel_ridge,kernel_ridge,D,extrapolacao,SC400,0.6666666666666666,25,0.24743110231028248,251.54133861383045,-251.54133861383045,0.28
dinov2|kernel_ridge,kernel_ridge,D,extrapolacao,SC480,0.8,27,0.2822445013322717,310.653299200637,-310.653299200637,0.0
dinov2|kernel_ridge,kernel_ridge,D,extrapolacao,SC560,0.9333333333333333,32,0.18595179539553897,448.4289227626766,-448.4289227626766,0.53125
dinov2|kernel_ridge,kernel_ridge,D,extrapolacao,SC600,1.0,40,0.14909269999858768,510.54438000084735,-510.54438000084735,0.9
dinov2|svr,svr,A,extrapolacao,Healthy,0.0,22,0.4542125211513199,272.5275126907919,272.5275126907919,1.0
dinov2|svr,svr,B,interpolacao,SC80,0.13333333333333333,26,0.5285729118804146,237.14374712824875,237.14374712824875,1.0
dinov2|svr,svr,B,interpolacao,SC160,0.26666666666666666,31,0.4683888456467299,121.03330738803787,121.03330738803787,1.0
dinov2|svr,svr,C,interpolacao,SC240,0.4,26,0.5111174636337115,66.67047818022684,66.67047818022684,0.3076923076923077
dinov2|svr,svr,C,interpolacao,SC320,0.5333333333333333,26,0.618370804690718,51.27972987803163,51.022482814430774,0.11538461538461539
dinov2|svr,svr,D,extrapolacao,SC400,0.6666666666666666,25,0.35258782730034793,188.44730361979126,-188.44730361979126,0.28
